Hindi,English,Transliteration
अगर,If,agar
इतना,This much,itnā
आया,Came,āyā
होगी,will happen,hogī
मिल,mill,mil
स्वयं,Self,svayã
रात,Night,rāt
बिना,Without,binā
हमें,Us,hamẽ
उपयोग,Use,upyog
किए,did,kie
महत्वपूर्ण,Important,mahatvapūrṇ
मुख्य,main,mukhya
साल,Year,sāl
ज्यादा,More,jyādā
साहित्य,Literature,sāhitya
पूर्व,East,pūrv
निर्माण,Construction,nirmāṇ
विषय,Subject,viṣay
जिससे,By which,jisse
देख,See,dekh
चित्र,Picture,citra
लगी,felt,lagī
प्रत्येक,Everyone,pratyek
मनुष्य,man,manuṣya
गई,Went,gaī
स्पष्ट,clear,spaṣṭ
दिनों,days,dinõ
रंग,Colour,raṅg
इसकी,his,iskī
स्तर,level,star
मेरा,My,merā
दूसरी,second,dūsrī
अच्छा,Good,acchā
रोग,Disease,rog
काल,period,kāl
अच्छी,Good,acchī
विज्ञान,Science,vijñān
भाई,Brother,bhāī
ज्ञान,Knowledge,jñān
दिल्ली,Delhi,dillī
बनाने,make,banāne
रुपये,Rs.,rupye
रखा,kept,rakhā
आवश्यकता,Need,āvaśyaktā
आता,comes,ātā
कौन,Who,kaun
हों,be,hõ
आर्थिक,Economic,ārthik
सहायता,Help,sahāytā
अतिरिक्त,Excessive,atirikt
देर,Late,der
तरफ,side,taraph
लेने,to take,lene
चला,walked,calā
सामाजिक,Social,sāmājik
समझ,Understanding,samajh
मगर,But,magar
आते,coming,āte
बच्चे,Children,bacce
कला,Art,kalā
पत्र,Letter,patra
भीतर,within,bhītar
संस्कृति,Culture,sanskŕti
उनमें,in them,unmẽ
वर्ग,Social class,varg
विभाग,Department,vibhāg
चाहता,wants,cāhtā
सिर,Head,sir
बताया,told,batāyā
जगह,Place,jagah
वही,Same,vahī
इतनी,So much,itnī
स्थापित,Established,sthāpit
राष्ट्रीय,National,rāṣṭrīya
स्वर,Vocal,svar
क्षेत्रों,areas,kṣetrõ
जिसके,whose,jiske
जन्म,Birth,janma
जाए,go,jāe
दौरान,during,daurān
गांधी,Gandhi,gāndhī
हाँ,Yes,hā̃
जनता,public,jantā
किस,What,kis
केन्द्र,center,kendra
साहब,Sir,sāhab
पूर्ण,full,pūrṇ
पुलिस,Police,pulis
बोला,spoke,bolā
थईआ,theia,thaīā
कमी,Shortage,kamī
समस्या,Problem,samasyā
कार्यक्रम,Program,kāryakram
विवाह,Marriage,vivāh
भूमि,land,bhūmi
भाव,expressions,bhāv
देखकर,after seeing,dekhkar
करोड़,Ten million,karoṛ
प्रथम,First,pratham
मूल,Original,mūl
परिवर्तन,Change,parivartan
बच्चों,children,baccõ
लाभ,Benefit,lābh
प्रदान,provide,pradān
आये,came,āye
छोटी,Small,choṭī
स्त्री,Woman,strī
सेवा,Service,sevā
व्यवहार,Behaviour,vyavhār
राम,Ram,rām
रचना,Composition,racnā
की,of,kī
भिन्न,Different,bhinn
मिट्टी,Soil,miṭṭī
देशों,countries,deśõ
इनके,their,inke
आती,comes,ātī
सही,Correct,sahī
उपलब्ध,Available,uplabdh
बल्कि,Rather,balki
प्राय,usually,prāy
बिजली,Electricity,bijlī
लेते,take,lete
जान,Life,jān
बढ़,increase,baṛh
सारे,all,sāre
शायद,Perhaps,śāyad
सरकारी,official,sarkārī
पड़,fall,paṛ
चुका,paid off,cukā
पड़ा,lay down,paṛā
विधि,Method,vidhi
छोड़,leave,choṛ
लिखा,wrote,likhā
जबकि,Whereas,jabki
